certificate_id,capacity_utilization_ratio,time_of_day_plausibility,issuance_velocity,buyer_concentration,serial_duplicate_flag,per_plant_utilization_zscore,generator_benford_deviation,timestamp_collision_flag,per_plant_min_gap_hours,transfer_velocity,capacity_utilization_ratio_scaled,time_of_day_plausibility_scaled,issuance_velocity_scaled,buyer_concentration_scaled,serial_duplicate_flag_scaled,per_plant_utilization_zscore_scaled,generator_benford_deviation_scaled,timestamp_collision_flag_scaled,per_plant_min_gap_hours_scaled,transfer_velocity_scaled
CERT000001,0.17405842478037512,0,21.013260180277776,0.0378625134264232,0,0.3398862710120912,0.0,0,168.0,38.344715149861116,-0.19865443473164732,-0.18700753900774347,0.05321190465736265,-1.7405738952664918,-0.26922194417304923,0.3672424541945929,-0.1177555835995132,-0.3358754552476965,1.1123084280004023,0.22318610956629326
CERT000002,0.2569189151695915,0,21.500324106944444,0.04484425349087003,0,0.001602617439495414,0.0,0,67.99888888888889,8.139543760555556,-0.10247993001883372,-0.18700753900774347,0.07796571785187437,-1.659438285939094,-0.26922194417304923,0.0017316061630344782,-0.1177555835995132,-0.3358754552476965,-0.422612982999854,-1.6756398329869489
CERT000003,0.14827101490019678,0,4.983620182222222,0.020676691729323307,0,-0.7789101908833677,0.0,0,122.54277777777777,42.92068046958333,-0.22858536274574498,-0.18700753900774347,-0.7614546973279144,-1.9402923182262408,-0.26922194417304923,-0.8416017782813322,-0.1177555835995132,-0.3358754552476965,0.4145835437642606,0.5108508127167245
CERT000004,0.2631239669421488,0,8.490970653888889,0.24597207303974222,0,-0.13005880303360784,0.0,0,20.239722222222223,21.23948610013889,-0.09527785122181118,-0.18700753900774347,-0.583202329148046,0.6778913827617145,-0.26922194417304923,-0.14052675288545027,-0.1177555835995132,-0.3358754552476965,-1.1556705127981535,-0.8521215671988753
CERT000005,0.32353262869017907,0,46.19256959250001,0.24597207303974222,0,1.0539034995458612,0.0,0,168.0,18.962981576388888,-0.025162732463875417,-0.18700753900774347,1.3328877078369255,0.6778913827617145,-0.26922194417304923,1.1387282766820654,-0.1177555835995132,-0.3358754552476965,1.1123084280004023,-0.9952323541671892
CERT000006,0.20003811157162593,0,26.4186003025,0.24597207303974222,0,-1.071314028369977,0.0,0,45.764722222222225,54.61829647166667,-0.16850033477392193,-0.18700753900774347,0.3279248782787057,0.6778913827617145,-0.26922194417304923,-1.1575401142863166,-0.1177555835995132,-0.3358754552476965,-0.7638861757996381,1.2462128619665447
CERT000007,0.2875775069488989,0,38.535795355000005,0.24597207303974222,0,-0.47187201088457703,0.0,0,168.0,15.542308542499999,-0.06689511914314329,-0.18700753900774347,0.9437511925446799,0.6778913827617145,-0.26922194417304923,-0.5098512359059805,-0.1177555835995132,-0.3358754552476965,1.1123084280004023,-1.210270455226938
CERT000008,0.2229320576480562,0,7.483633257777778,0.12191192266380237,0,-0.48484207405966206,0.0,0,60.598333333333336,21.72347593916667,-0.1419277920037781,-0.18700753900774347,-0.6343977479872764,-0.7638259829789712,-0.26922194417304923,-0.5238652112786654,-0.1177555835995132,-0.3358754552476965,-0.536204432627827,-0.8216959009964482
CERT000009,0.1902494148034547,0,1.526754451111111,0.24597207303974222,0,1.4761096392562914,0.0,0,46.095555555555556,36.12495428509259,-0.17986187824344146,-0.18700753900774347,-0.9371413040779881,0.6778913827617145,-0.26922194417304923,1.594916219965505,-0.1177555835995132,-0.3358754552476965,-0.7588082005535262,0.08364247109585458
CERT000010,0.14662648831397915,0,3.6693054025,0.07357679914070892,0,-0.8054499942416306,0.0,0,168.0,67.2036628536111,-0.23049413167981248,-0.18700753900774347,-0.8282514785198322,-1.3255340475532642,-0.26922194417304923,-0.8702776718092107,-0.1177555835995132,-0.3358754552476965,1.1123084280004023,2.0373826876419803
